"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",61,2,0,0,0,0,219,84,2,0,0,14,31,413
"LDB",0,80,0,0,0,0,9,23,0,0,0,0,0,112
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",1,10,0,0,0,0,40,39,0,0,0,15,12,117
"MDB",0,14,0,0,0,0,8,21,0,0,0,0,0,43
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HD",0,0,0,0,0,1,0,0,0,0,0,0,1,2
"sums",62,106,0,0,0,1,276,167,2,0,0,29,44,687
