"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",306,1,0,0,0,0,76,8,0,0,0,0,0,391
"LDB",0,93,0,0,0,0,0,3,0,0,0,0,0,96
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",1,3,0,0,0,0,70,26,0,0,0,0,0,100
"MDB",0,19,0,0,0,0,1,15,0,0,0,0,0,35
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",307,116,0,0,0,0,147,52,0,0,0,0,0,622
