"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",499,0,0,0,0,0,125,0,0,0,0,0,0,624
"LDB",0,4,0,0,0,0,0,6,0,0,0,0,0,10
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,6,0,0,0,0,0,0,0,6
"MDW",2,0,0,0,0,0,164,5,1,0,0,13,8,193
"MDB",0,0,0,0,0,0,1,25,0,0,0,1,2,29
"MDA",0,0,0,0,0,0,0,0,4,0,0,0,1,5
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,4,2,0,0,0,0,21,0,27
"HD",0,0,0,0,0,0,2,1,0,0,0,4,18,25
"sums",501,4,0,0,0,10,294,37,5,0,0,39,29,919
