"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",495,0,0,0,0,0,241,0,0,0,0,2,0,738
"LDB",0,331,0,0,0,0,1,35,0,0,0,0,0,367
"LDA",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,63,2,1,0,0,0,9,0,75
"MDW",21,0,0,0,0,2,391,30,2,0,0,84,3,533
"MDB",0,16,0,0,0,1,12,69,0,0,0,4,1,103
"MDA",0,0,0,0,0,0,0,2,7,0,0,0,0,9
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,36,18,10,0,0,0,119,1,184
"HD",0,0,0,0,0,0,6,0,0,0,0,2,7,15
"sums",516,347,1,0,0,102,671,147,9,0,0,220,12,2025
