"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",45,0,0,0,0,0,358,12,4,0,0,60,55,534
"LDB",0,2,0,0,0,0,0,40,0,0,0,14,0,56
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,9,0,0,0,0,0,0,0,9
"MDW",1,1,0,0,0,13,66,42,2,0,0,147,53,325
"MDB",0,0,0,0,0,2,7,14,0,0,0,23,1,47
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,22,12,0,0,0,0,22,2,58
"HD",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"sums",46,3,0,0,0,46,443,108,6,0,0,266,113,1031
