"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",804,1,0,0,0,0,95,13,0,0,0,1,0,914
"LDB",0,226,0,0,0,0,0,0,0,0,0,0,0,226
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,5,0,0,0,0,29,31,0,0,0,10,2,77
"MDB",0,27,0,0,0,0,0,27,0,0,0,0,1,55
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,4,0,4
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",804,259,0,0,0,0,124,71,0,0,0,15,3,1276
