"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",61,0,0,0,0,0,103,0,0,0,0,0,0,164
"LDB",0,40,0,0,0,1,0,16,0,0,0,0,0,57
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,47,0,0,0,0,0,2,0,49
"MDW",0,0,0,0,0,0,234,8,6,0,0,65,22,335
"MDB",0,1,0,0,0,0,1,48,0,0,0,23,1,74
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,37,7,3,0,0,0,102,1,150
"HD",0,0,0,0,0,0,0,3,3,0,0,26,17,49
"sums",61,41,0,0,0,85,345,78,9,0,0,218,41,878
