"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",34,0,0,0,0,0,455,0,5,0,0,15,8,517
"LDB",0,1,0,0,0,0,0,25,0,0,0,14,0,40
"LDA",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,238,0,0,0,0,0,45,1,284
"MDW",1,0,1,0,0,2,361,1,162,0,0,376,81,985
"MDB",0,0,0,0,0,9,1,21,0,0,0,78,14,123
"MDA",0,0,6,0,0,0,1,0,55,0,0,12,1,75
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,144,14,0,33,0,0,335,12,538
"HD",0,0,0,0,0,0,1,0,4,0,0,25,4,34
"sums",35,1,7,0,0,393,833,47,260,0,0,900,121,2597
