"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",101,0,0,0,0,0,103,0,0,0,0,0,0,204
"LDB",0,54,0,0,0,0,0,10,0,0,0,1,0,65
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,106,0,0,0,0,0,0,0,106
"MDW",0,0,0,0,0,0,195,24,0,0,0,68,1,288
"MDB",0,12,0,0,0,0,4,75,0,0,0,9,0,100
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,21,1,3,0,0,0,90,0,115
"HD",0,0,0,0,0,0,0,2,0,0,0,1,1,4
"sums",101,66,0,0,0,127,303,114,0,0,0,169,2,882
