"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",581,0,0,0,0,0,92,2,0,0,0,0,2,677
"LDB",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",1,0,0,0,0,0,31,9,1,0,0,0,16,58
"MDB",0,0,0,0,0,0,1,10,0,0,0,0,2,13
"MDA",0,0,0,0,0,0,0,1,2,0,0,0,1,4
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HD",0,0,0,0,0,0,0,0,0,0,0,0,5,5
"sums",582,0,0,0,0,0,124,23,3,0,0,0,27,759
