"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",513,13,0,0,0,0,1334,23,93,0,0,84,83,2143
"LDB",0,141,0,0,0,0,4,243,0,0,0,17,19,424
"LDA",0,0,1,0,0,0,0,0,1,0,0,0,0,2
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",2,0,0,0,0,25,4,0,1,0,0,46,0,78
"MDW",6,7,5,0,0,5,325,39,144,0,0,223,151,905
"MDB",3,23,0,0,0,2,26,158,5,0,0,107,60,384
"MDA",0,0,5,0,0,0,0,0,26,0,0,2,2,35
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",1,0,1,0,0,45,39,6,13,0,0,267,36,408
"HD",0,0,1,0,0,0,0,1,16,0,0,1,15,34
"sums",525,184,13,0,0,77,1732,470,299,0,0,747,366,4413
