"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",663,0,0,0,0,0,200,2,0,0,0,0,0,865
"LDB",1,108,0,0,0,0,3,21,0,0,0,0,0,133
"LDA",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"MDW",8,1,0,0,0,0,227,41,0,0,0,8,11,296
"MDB",2,9,0,0,0,0,13,85,0,0,0,4,1,114
"MDA",0,0,0,0,0,0,0,0,2,0,0,0,0,2
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,2,1,0,0,0,0,22,0,25
"HD",0,0,0,0,0,0,0,4,0,0,0,3,3,10
"sums",674,118,0,0,0,3,444,153,3,0,0,37,15,1447
