"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",71,0,0,0,0,0,325,0,0,0,0,24,7,427
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,1,0,0,0,0,0,4,0,1,0,6
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,1,1,0,0,0,0,8,0,10
"MDW",1,0,0,0,0,22,53,0,0,0,0,76,19,171
"MDB",0,0,0,0,0,0,0,0,0,0,0,6,0,6
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,1,0,14,2,0,0,0,0,33,4,54
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",72,0,0,2,0,37,381,0,0,5,0,148,30,675
