"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",61,0,0,0,0,0,106,0,0,0,0,4,1,172
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,16,0,0,0,0,0,0,0,16
"MDW",4,0,0,0,0,0,180,0,2,0,0,128,21,335
"MDB",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,13,0,0,0,0,0,44,0,57
"HD",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"sums",65,0,0,0,0,29,286,1,2,0,0,176,23,582
