"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",9,0,0,0,0,0,58,0,0,0,0,0,0,67
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,23,0,0,0,0,0,4,0,27
"MDW",0,0,0,0,0,0,281,0,7,0,0,9,14,311
"MDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDA",0,0,0,0,0,0,2,0,24,0,0,1,0,27
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,7,2,0,0,0,0,141,1,151
"HD",0,0,0,0,0,0,0,0,0,0,0,0,13,13
"sums",9,0,0,0,0,30,343,0,31,0,0,155,28,596
