"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",119,0,0,0,0,0,130,0,0,0,0,0,0,249
"LDB",0,0,0,0,0,0,0,19,0,0,0,0,0,19
"LDA",0,0,4,0,0,0,0,0,1,0,0,0,0,5
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,0,0,0,0,0,274,1,30,0,0,22,67,394
"MDB",0,0,0,0,0,0,2,48,4,0,0,10,10,74
"MDA",0,0,1,0,0,0,1,0,53,0,0,0,4,59
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,1,1,0,1,0,0,32,1,36
"HD",0,0,0,0,0,0,1,0,6,0,0,7,16,30
"sums",119,0,5,0,0,1,409,68,95,0,0,71,98,866
