"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",205,0,0,0,0,0,143,0,0,0,0,0,0,348
"LDB",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",1,0,0,0,0,0,251,0,2,0,0,0,31,285
"MDB",0,0,0,0,0,0,2,0,0,0,0,0,0,2
"MDA",0,0,0,0,0,0,0,0,5,0,0,0,5,10
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HD",0,0,0,0,0,0,2,0,0,0,0,0,17,19
"sums",206,0,0,0,0,0,398,0,7,0,0,0,53,664
