"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",308,0,0,0,0,0,47,0,0,0,0,0,0,355
"LDB",0,71,0,0,0,0,0,9,0,0,0,0,0,80
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,1,0,0,0,0,58,17,0,0,0,0,0,76
"MDB",0,10,0,0,0,0,3,18,0,0,0,0,0,31
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",308,82,0,0,0,0,108,44,0,0,0,1,0,543
