"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",118,0,0,0,0,0,275,0,0,0,0,12,11,416
"LDB",0,8,0,0,0,0,0,9,0,0,0,0,0,17
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,0,0,0,0,0,41,11,0,0,0,31,4,87
"MDB",0,0,0,0,0,0,4,12,0,0,0,1,2,19
"MDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,1,0,0,0,0,0,4,0,5
"HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sums",118,8,0,0,0,1,320,32,0,0,0,48,17,544
