"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",48,0,0,0,0,0,315,17,4,0,0,7,39,430
"LDB",0,78,0,0,0,0,17,53,0,0,0,1,4,153
"LDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDW",0,5,0,0,0,0,113,51,3,0,0,39,122,333
"MDB",0,17,0,0,0,0,14,34,0,0,0,14,8,87
"MDA",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,2,2,0,0,0,0,4,0,8
"HD",0,0,0,0,0,0,0,0,0,0,0,4,0,4
"sums",48,100,0,0,0,2,462,155,7,0,0,69,173,1016
